car_name,Kms_driven,fuel_type,Transmission,Ownership,Manufacture,Engine_cc,Seats,car_prices_in_rupee,Price_in_rupees
Jeep Compass 2.0 Longitude Option BSIV,86226,Diesel,Manual,1,2017,1956,5,10.03 Lakh,1003000
Renault Duster RXZ Turbo CVT,13248,Petrol,Automatic,1,2021,1330,5,12.83 Lakh,1283000
Toyota Camry 2.5 G,60343,Petrol,Automatic,1,2016,2494,5,16.40 Lakh,1640000
Honda Jazz VX CVT,26696,Petrol,Automatic,1,2018,1199,5,7.77 Lakh,777000
Volkswagen Polo 1.2 MPI Highline,69414,Petrol,Manual,1,2016,1199,5,5.15 Lakh,515000
Volkswagen Vento 1.2 TSI Highline AT,49719,Petrol,Automatic,1,2017,1197,5,7.66 Lakh,766000
Volkswagen Vento 1.2 TSI Highline Plus AT,43688,Petrol,Automatic,1,2017,1197,5,7.58 Lakh,758000
Honda WR-V VX Diesel,14470,Diesel,Manual,1,2021,1498,5,11.60 Lakh,1160000
Honda City i VTEC CVT SV,21429,Petrol,Automatic,1,2015,1497,5,6.99 Lakh,699000
Renault Duster Petrol RXS CVT,31750,Petrol,Automatic,1,2017,1498,5,7.53 Lakh,753000
Maruti Baleno 1.2 Alpha,38203,Petrol,Manual,1,2017,1197,5,6.43 Lakh,643000
Honda City i VTEC CVT SV,110284,Petrol,Automatic,1,2014,1497,5,5.43 Lakh,543000
Mahindra XUV300 W6,10381,Petrol,Manual,1,2020,1197,5,8.62 Lakh,862000
Jeep Compass 1.4 Limited Plus BSIV,32378,Petrol,Automatic,1,2019,1368,5,16.78 Lakh,1678000
Honda City V MT,38906,Petrol,Manual,1,2020,1498,5,10.03 Lakh,1003000
Hyundai Grand i10 AT Asta,59313,Petrol,Automatic,2,2016,1197,5,5.63 Lakh,563000
Hyundai i20 1.4 Asta,85672,Diesel,Manual,1,2017,1396,5,6.67 Lakh,667000
Maruti Ciaz 1.4 Delta,34971,Petrol,Manual,2,2017,1373,5,6.73 Lakh,673000
Nissan Micra XL Optional,35894,Petrol,Manual,2,2015,1198,5,3.21 Lakh,321000
Maruti Ciaz Alpha Automatic BSIV,56000,Petrol,Automatic,1,2019,1462,5,8.50 Lakh,850000
Maruti Swift Dzire VXI,56568,Petrol,Manual,1,2014,1197,5,4.34 Lakh,434000
Renault KWID RXT,48872,Petrol,Manual,1,2017,799,5,3.11 Lakh,311000
Renault KWID RXL BSIV,17346,Petrol,Manual,1,2019,799,5,3.70 Lakh,370000
Jeep Compass 2.0 Limited Plus BSIV,15414,Diesel,Manual,1,2019,1956,5,15.88 Lakh,1588000
Hyundai Grand i10 1.2 Kappa Magna BSIV,21239,Petrol,Manual,1,2018,1197,5,5.41 Lakh,541000
Maruti Alto K10 LXI,62361,Petrol,Manual,1,2014,998,5,2.23 Lakh,223000
Hyundai Verna 1.6 VTVT S Option,79329,Petrol,Manual,2,2015,1591,5,5.88 Lakh,588000
Hyundai Tucson GLS AT,11945,Petrol,Automatic,1,2021,1999,5,22.78 Lakh,2278000
Maruti Swift Dzire VXI 1.2,51324,Petrol,Manual,1,2018,1197,5,6.12 Lakh,612000
Nissan Magnite XV Premium,5717,Petrol,Manual,1,2021,999,5,7.44 Lakh,744000
Honda City i VTEC CVT VX,46417,Petrol,Automatic,1,2016,1497,5,8.39 Lakh,839000
Honda Amaze S i-Vtech,100161,Petrol,Manual,1,2015,1198,5,4.20 Lakh,420000
Hyundai Grand i10 Sportz,35424,Petrol,Manual,1,2016,1197,5,4.91 Lakh,491000
Hyundai EON Era Plus,51085,Petrol,Manual,1,2017,814,5,2.93 Lakh,293000
Maruti Alto 800 LXI,30983,Petrol,Manual,1,2016,796,5,2.98 Lakh,298000
Renault KWID RXL,32681,Petrol,Manual,1,2016,799,5,2.60 Lakh,260000
Hyundai EON Magna Plus,57581,Petrol,Manual,2,2014,814,5,2.38 Lakh,238000
Honda Jazz 1.2 V AT i VTEC,39821,Petrol,Automatic,1,2016,1199,5,6.05 Lakh,605000
Maruti Alto 800 LXI,21186,Petrol,Manual,1,2018,796,5,3.23 Lakh,323000
Renault KWID RXL,34972,Petrol,Manual,1,2018,799,5,3.26 Lakh,326000
Honda Amaze S i-Vtech,46623,Petrol,Manual,2,2015,1198,5,4.21 Lakh,421000
Kia Seltos GTX Plus,18557,Petrol,Manual,1,2019,1353,5,15.53 Lakh,1553000
Jeep Compass 2.0 Limited,58463,Diesel,Manual,1,2017,1956,5,12.43 Lakh,1243000
MG Hector Plus Sharp DCT,5000,Petrol,Automatic,1,2020,1451,6,18.50 Lakh,1850000
Tata Harrier XZ BSIV,66000,Diesel,Manual,1,2019,1956,5,15.90 Lakh,1590000
Renault Duster Petrol RXS CVT,14000,Petrol,Automatic,1,2019,1498,5,8.90 Lakh,890000
BMW 5 Series 520d Luxury Line,61000,Diesel,Automatic,1,2019,1995,5,43 Lakh,4300000
